Fecha,TMAX,TMIN,Prec
2026-01-01,28.6,12.7,0.0
2026-01-02,25.3,10.9,0.0
2026-01-03,22.6,9.9,0.0
2026-01-04,25.0,8.3,0.0
2026-01-05,28.0,11.8,0.0
2026-01-06,29.8,15.8,0.9
2026-01-07,24.0,15.1,14.3
2026-01-08,22.9,9.5,0.0
2026-01-09,24.5,12.5,0.0
2026-01-10,28.5,14.7,0.0
2026-01-11,35.2,17.5,0.0
2026-01-12,35.5,21.2,0.1
2026-01-13,27.3,17.5,1.1
2026-01-14,31.4,16.6,0.0
2026-01-15,29.9,18.1,1.5
2026-01-16,28.9,12.3,0.0
2026-01-17,32.7,16.4,1.3
2026-01-18,23.0,11.2,0.0
2026-01-19,23.0,7.8,0.0
2026-01-20,27.4,10.8,0.0
2026-01-21,30.0,14.7,0.0
2026-01-22,30.4,17.9,0.0
2026-01-23,31.7,18.0,0.0
2026-01-24,29.5,19.9,0.0
2026-01-25,31.3,20.4,0.3
2026-01-26,29.5,19.0,0.6
2026-01-27,30.0,15.4,0.0
2026-01-28,31.3,15.9,0.0
2026-01-29,31.0,15.6,0.0
2026-01-30,29.1,18.0,13.5
2026-01-31,28.5,16.1,0.0
2026-02-01,29.8,17.2,3.5
2026-02-02,33.0,19.9,2.2
2026-02-03,30.6,20.4,0.0
2026-02-04,26.4,14.9,0.1
2026-02-05,27.5,16.8,2.6
2026-02-06,26.8,11.2,0.0
2026-02-07,27.9,12.9,0.0
2026-02-08,29.5,14.1,0.0
2026-02-09,28.8,18.2,0.5
2026-02-10,30.7,15.4,0.0
2026-02-11,23.2,15.6,4.4
2026-02-12,26.1,14.4,0.0
2026-02-13,22.2,10.6,0.0
2026-02-14,26.6,13.1,0.3
2026-02-15,27.1,15.7,11.3
2026-02-16,29.1,15.2,0.0
2026-02-17,28.8,15.9,0.0
2026-02-18,30.2,15.4,0.9
2026-02-19,26.4,16.2,1.1
2026-02-20,28.2,10.4,0.0
2026-02-21,28.6,13.4,0.0
2026-02-22,28.1,15.6,0.3
2026-02-23,27.9,17.5,2.2
2026-02-24,25.1,14.9,0.0
2026-02-25,21.7,11.2,0.0
2026-02-26,23.5,8.4,0.0
2026-02-27,26.9,11.2,0.0
2026-02-28,26.9,15.6,0.2
2026-03-01,29.8,15.7,0.0
2026-03-02,28.6,17.1,8.1
2026-03-03,24.9,15.9,15.8
2026-03-04,27.2,13.4,0.0
2026-03-05,20.2,14.2,0.8
2026-03-06,21.6,12.6,0.6
2026-03-07,23.6,12.6,0.0
2026-03-08,23.8,9.9,0.0
2026-03-09,23.8,13.3,0.0
2026-03-10,25.0,13.2,0.0
2026-03-11,24.6,11.9,0.0
2026-03-12,25.1,14.0,0.0
2026-03-13,25.6,14.1,0.3
2026-03-14,21.6,16.8,13.9
2026-03-15,27.7,15.2,0.0
2026-03-16,22.1,14.3,40.9
2026-03-17,22.2,12.4,32.5
2026-03-18,23.6,9.1,0.0
2026-03-19,26.1,11.8,0.0
2026-03-20,22.1,14.1,17.7
2026-03-21,18.2,12.0,24.1
2026-03-22,22.5,9.2,0.1
2026-03-23,18.6,11.8,0.0
2026-03-24,24.2,9.5,0.0
2026-03-25,22.4,10.6,0.0
2026-03-26,24.8,9.9,0.0
2026-03-27,25.3,13.0,0.0
2026-03-28,26.4,15.5,2.7
2026-03-29,24.0,19.2,1.2
2026-03-30,27.2,19.9,0.3
2026-03-31,29.4,19.9,14.0
2026-04-01,24.7,19.8,2.1
2026-04-02,26.5,19.0,0.1
2026-04-03,28.0,13.3,0.6
2026-04-04,16.9,9.2,0.0
2026-04-05,17.8,6.2,0.0
2026-04-06,18.6,10.4,3.5
2026-04-07,19.3,13.6,2.0
2026-04-08,19.5,11.7,0.0
2026-04-09,19.8,8.2,0.0
2026-04-10,21.8,8.9,0.0
2026-04-11,21.7,11.1,0.0
2026-04-12,23.4,10.9,0.1
2026-04-13,22.5,10.4,0.0
2026-04-14,24.5,13.6,9.2
2026-04-15,23.4,16.7,20.2
2026-04-16,24.6,16.8,0.4
2026-04-17,24.9,13.7,0.2
2026-04-18,24.3,12.0,0.0
2026-04-19,19.0,13.8,9.8
2026-04-20,14.8,11.3,41.1
2026-04-21,14.2,10.4,37.1
2026-04-22,18.8,10.0,0.2
2026-04-23,22.0,8.4,0.0
2026-04-24,22.0,10.1,0.0
2026-04-25,18.9,9.1,0.0
2026-04-26,11.2,8.1,1.5
2026-04-27,13.8,6.1,0.0
2026-04-28,18.2,5.1,0.0
2026-04-29,19.1,8.7,0.2
2026-04-30,20.0,5.1,0.0
2026-05-01,21.4,11.0,0.0
2026-05-02,12.8,3.8,0.0
2026-05-03,14.7,0.6,0.0
2026-05-04,19.8,7.9,0.0
2026-05-05,21.3,9.8,0.0
2026-05-06,19.0,13.4,18.6
2026-05-07,15.2,8.9,1.8
2026-05-08,9.9,5.7,2.2
2026-05-09,12.0,6.6,2.8
2026-05-10,14.0,2.5,0.0
2026-05-11,15.4,2.0,0.0
2026-05-12,18.0,6.3,0.0
2026-05-13,15.2,2.8,0.0
2026-05-14,13.9,3.8,0.0
2026-05-15,16.2,3.5,0.8
2026-05-16,12.9,5.1,0.1
2026-05-17,12.9,1.9,0.0
2026-05-18,15.4,1.1,0.0
2026-05-19,15.9,3.7,0.0
2026-05-20,12.8,6.4,0.1
2026-05-21,10.2,4.6,0.0
2026-05-22,11.9,2.2,0.0
2026-05-23,11.4,1.2,0.0
2026-05-24,12.7,5.1,0.0
2026-05-25,15.1,3.5,0.0
2026-05-26,15.5,2.2,0.0
2026-05-27,11.0,4.8,0.0
2026-05-28,12.4,7.9,0.3
2026-05-29,13.7,7.2,0.0
2026-05-30,15.7,6.3,0.0
2026-05-31,16.4,6.2,0.0
2026-06-01,11.2,8.6,1.2
2026-06-02,14.1,8.2,0.0
2026-06-03,16.2,7.6,0.0
2026-06-04,14.4,11.0,28.5
2026-06-05,15.5,11.6,10.0
2026-06-06,17.1,11.7,0.4
2026-06-07,13.5,10.9,0.1
2026-06-08,13.6,5.3,0.0
2026-06-09,11.7,2.7,0.0
2026-06-10,14.4,8.5,0.0
2026-06-11,15.9,6.1,0.0
2026-06-12,15.7,6.3,0.0
2026-06-13,10.5,2.2,2.1
2026-06-14,8.9,-1.9,0.0
2026-06-15,13.7,1.3,0.0
2026-06-16,16.3,5.6,0.0
2026-06-17,11.9,3.3,0.0
2026-06-18,9.2,5.9,2.2
2026-06-19,13.5,3.8,0.0
2026-06-20,13.1,2.4,0.0
2026-06-21,14.4,3.2,0.0
2026-06-22,9.0,1.9,0.4
2026-06-23,9.5,1.9,0.8
2026-06-24,8.0,0.8,2.7
2026-06-25,9.2,2.4,0.0
2026-06-26,10.5,0.8,0.0
2026-06-27,9.7,3.8,0.9
2026-06-28,9.1,3.3,2.1
